iter	Passed	Remaining
506	7924	7705
507	7938	7688
508	7955	7674
509	7972	7660
510	7987	7643
511	8000	7625
512	8014	7607
513	8026	7589
514	8044	7575
515	8057	7558
516	8071	7540
517	8086	7524
518	8100	7507
519	8114	7490
520	8131	7476
521	8150	7463
522	8168	7450
523	8183	7433
524	8199	7418
525	8213	7401
526	8232	7388
527	8246	7372
528	8261	7355
529	8275	7338
530	8293	7325
531	8306	7307
532	8321	7290
533	8335	7274
534	8351	7258
535	8370	7245
536	8398	7241
537	8416	7227
538	8429	7209
539	8442	7192
540	8457	7175
541	8474	7161
542	8489	7144
543	8505	7129
544	8519	7112
545	8532	7094
546	8547	7078
547	8562	7062
548	8580	7049
549	8601	7037
550	8615	7020
551	8630	7004
552	8647	6989
553	8662	6973
554	8675	6956
555	8688	6938
556	8702	6921
557	8716	6904
558	8730	6887
559	8748	6873
560	8762	6857
561	8776	6839
562	8792	6825
563	8811	6811
564	8829	6797
565	8847	6783
566	8863	6768
567	8879	6753
568	8895	6737
569	8913	6724
570	8930	6709
571	8946	6694
572	8960	6677
573	8978	6663
574	8995	6648
575	9012	6633
576	9026	6617
577	9040	6600
578	9053	6582
579	9066	6565
580	9080	6548
581	9094	6531
582	9112	6517
583	9125	6500
584	9143	6486
585	9156	6468
586	9174	6454
587	9188	6438
588	9203	6421
589	9218	6406
590	9232	6389
591	9248	6373
592	9263	6358
593	9278	6341
594	9292	6325
595	9307	6309
596	9325	6294
597	9342	6280
598	9356	6264
599	9381	6254
600	9395	6237
601	9414	6224
602	9427	6206
603	9441	6190
604	9456	6174
605	9474	6159
606	9487	6142
607	9502	6126
608	9516	6109
609	9530	6093
610	9549	6079
611	9573	6069
612	9588	6053
613	9601	6036
614	9614	6019
615	9628	6002
616	9643	5986
617	9661	5972
618	9674	5954
619	9689	5938
620	9702	5921
621	9718	5906
622	9735	5891
623	9748	5873
624	9761	5857
625	9776	5840
626	9791	5824
627	9809	5810
628	9826	5795
629	9840	5779
630	9853	5762
631	9866	5745
632	9879	5727
633	9893	5711
634	9909	5696
635	9927	5681
636	9947	5668
637	9961	5652
638	9974	5634
639	9987	5618
640	10001	5601
641	10014	5584
642	10031	5569
643	10044	5552
644	10057	5535
645	10071	5519
646	10085	5502
647	10102	5487
648	10119	5473
649	10138	5459
650	10152	5442
651	10166	5426
652	10179	5409
653	10193	5392
654	10208	5376
655	10222	5360
656	10238	5345
657	10257	5331
658	10275	5316
659	10288	5300
660	10302	5283
661	10317	5267
662	10332	5252
663	10348	5236
664	10364	5221
665	10378	5204
666	10396	5190
667	10410	5174
668	10424	5157
669	10440	5142
670	10457	5127
671	10472	5111
672	10489	5096
673	10505	5081
674	10523	5066
675	10539	5051
676	10555	5035
677	10569	5019
678	10584	5003
679	10599	4987
680	10618	4973
681	10632	4957
682	10652	4944
683	10667	4928
684	10681	4911
685	10697	4896
686	10712	4880
687	10728	4865
688	10742	4849
689	10761	4834
690	10775	4818
691	10788	4801
692	10802	4785
693	10815	4768
694	10831	4753
695	10847	4738
696	10861	4721
697	10877	4706
698	10892	4690
699	10907	4674
700	10925	4659
701	10938	4643
702	10953	4627
703	10966	4610
704	10983	4596
705	10997	4579
706	11013	4564
707	11030	4549
708	11043	4532
709	11058	4516
710	11077	4502
711	11092	4486
712	11109	4471
713	11124	4456
714	11142	4441
715	11156	4425
716	11173	4410
717	11187	4394
718	11204	4379
719	11219	4363
720	11238	4348
721	11252	4332
722	11267	4316
723	11280	4300
724	11299	4286
725	11313	4269
726	11331	4255
727	11361	4244
728	11378	4229
729	11393	4214
730	11410	4199
731	11424	4182
732	11439	4167
733	11457	4152
734	11471	4136
735	11485	4119
736	11499	4103
737	11512	4087
738	11526	4071
739	11544	4056
740	11557	4039
741	11571	4023
742	11589	4008
743	11603	3992
744	11617	3976
745	11632	3960
746	11649	3945
747	11662	3929
748	11676	3913
749	11691	3897
750	11704	3880
751	11718	3864
752	11732	3848
753	11748	3832
754	11762	3816
755	11775	3800
756	11790	3784
757	11803	3768
758	11821	3753
759	11836	3737
760	11850	3721
761	11865	3706
762	11879	3690
763	11893	3673
764	11911	3658
765	11925	3642
766	11942	3627
767	11960	3613
768	11974	3597
769	11987	3580
770	12001	3564
771	12017	3549
772	12034	3534
773	12048	3518
774	12062	3502
775	12075	3485
776	12088	3469
777	12102	3453
778	12119	3438
779	12133	3422
780	12149	3406
781	12166	3391
782	12183	3376
783	12201	3361
784	12223	3347
785	12240	3332
786	12259	3317
787	12276	3302
788	12290	3286
789	12303	3270
790	12316	3254
791	12329	3238
792	12342	3221
793	12364	3207
794	12377	3191
795	12399	3177
796	12412	3161
797	12429	3146
798	12444	3130
799	12461	3115
800	12477	3099
801	12493	3084
802	12513	3069
803	12533	3055
804	12547	3039
805	12565	3024
806	12582	3009
807	12597	2993
808	12611	2977
809	12632	2963
810	12649	2947
811	12663	2931
812	12676	2915
813	12691	2900
814	12705	2884
815	12722	2868
816	12736	2852
817	12754	2837
818	12767	2821
819	12782	2805
820	12796	2789
821	12810	2774
822	12825	2758
823	12841	2742
824	12859	2727
825	12876	2712
826	12893	2697
827	12911	2682
828	12932	2667
829	12947	2651
830	12961	2636
831	12979	2620
832	12996	2605
833	13017	2591
834	13038	2576
835	13056	2561
836	13073	2546
837	13088	2530
838	13105	2514
839	13123	2499
840	13140	2484
841	13157	2468
842	13172	2453
843	13187	2437
844	13202	2421
845	13217	2405
846	13234	2390
847	13248	2374
848	13265	2359
849	13279	2343
850	13294	2327
851	13309	2311
852	13324	2296
853	13339	2280
854	13353	2264
855	13371	2249
856	13387	2233
857	13401	2217
858	13418	2202
859	13432	2186
860	13449	2171
861	13466	2155
862	13480	2139
863	13497	2124
864	13511	2108
865	13524	2092
866	13541	2077
867	13558	2061
868	13573	2046
869	13592	2030
870	13606	2015
871	13621	1999
872	13637	1983
873	13653	1968
874	13670	1952
875	13685	1937
876	13707	1922
877	13725	1907
878	13743	1891
879	13766	1877
880	13784	1861
881	13802	1846
882	13819	1831
883	13833	1815
884	13847	1799
885	13864	1783
886	13882	1768
887	13900	1753
888	13915	1737
889	13930	1721
890	13946	1706
891	13963	1690
892	13977	1674
893	13992	1659
894	14010	1643
895	14027	1628
896	14045	1612
897	14062	1597
898	14076	1581
899	14093	1565
900	14112	1550
901	14126	1534
902	14143	1519
903	14157	1503
904	14174	1487
905	14192	1472
906	14212	1457
907	14230	1441
908	14245	1426
909	14259	1410
910	14272	1394
911	14287	1378
912	14306	1363
913	14324	1347
914	14345	1332
915	14359	1316
916	14374	1301
917	14388	1285
918	14403	1269
919	14421	1254
920	14438	1238
921	14452	1222
922	14468	1207
923	14487	1191
924	14506	1176
925	14523	1160
926	14537	1144
927	14556	1129
928	14571	1113
929	14590	1098
930	14612	1082
931	14629	1067
932	14644	1051
933	14662	1036
934	14675	1020
935	14691	1004
936	14708	988
937	14722	973
938	14739	957
939	14757	941
940	14770	926
941	14786	910
942	14800	894
943	14814	878
944	14829	863
945	14847	847
946	14865	831
947	14879	816
948	14897	800
949	14912	784
950	14926	769
951	14947	753
952	14965	738
953	14984	722
954	14997	706
955	15014	691
956	15032	675
957	15049	659
958	15063	644
959	15081	628
960	15101	612
961	15119	597
962	15143	581
963	15161	566
964	15175	550
965	15194	534
966	15211	519
967	15225	503
968	15243	487
969	15260	471
970	15279	456
971	15297	440
972	15314	424
973	15331	409
974	15351	393
975	15365	377
976	15380	362
977	15395	346
978	15410	330
979	15424	314
980	15442	299
981	15458	283
982	15475	267
983	15492	251
984	15509	236
985	15528	220
986	15546	204
987	15563	189
988	15578	173
989	15597	157
990	15615	141
991	15636	126
992	15653	110
993	15669	94
994	15684	78
995	15699	63
996	15717	47
997	15734	31
998	15751	15
999	15769	0
