iter	Logloss
180	0.2016903846
181	0.2016890763
182	0.2016889386
183	0.2016888285
184	0.2016873549
185	0.2016795603
186	0.2016780041
187	0.2016725643
188	0.2016718069
189	0.2016717931
190	0.2016716554
191	0.2016348581
192	0.201620522
193	0.2015901421
194	0.2015899493
195	0.2015897565
196	0.2015892194
197	0.2015797584
198	0.2015765221
199	0.2015763706
200	0.2015757371
201	0.2015441729
202	0.2015425754
203	0.2015425479
204	0.2015425754
205	0.2015423276
206	0.2015421623
207	0.2015421485
208	0.2015404409
209	0.2015356897
210	0.2015356622
211	0.2015207063
212	0.2015205273
213	0.2014818433
214	0.2014802595
215	0.2014802595
216	0.2014802182
217	0.2014759904
218	0.2014720242
219	0.2014718314
220	0.2014718314
221	0.2014716937
222	0.2014703441
223	0.2014702201
224	0.2014697519
225	0.2014696417
226	0.2014365213
227	0.2014365076
228	0.2014362872
229	0.2014355298
230	0.20139153
231	0.201390924
232	0.2013909102
233	0.2013899462
234	0.2013896983
235	0.2013893954
236	0.2013799619
237	0.2013799757
238	0.2013799481
239	0.2013799619
240	0.2013780615
241	0.2013777447
242	0.2013738474
243	0.2013694818
244	0.2013692339
245	0.2013317618
246	0.2013315277
247	0.201317825
248	0.2012874865
249	0.2012839197
250	0.2012830383
251	0.2012830521
252	0.2012742383
253	0.2012729989
254	0.2012726684
255	0.2012508819
256	0.2012154479
257	0.2012154479
258	0.2012154066
259	0.2012154066
260	0.2011951901
261	0.2011938818
262	0.2011939094
263	0.2011909072
264	0.2011837736
265	0.2011806887
266	0.201180193
267	0.2011797936
268	0.2011793667
269	0.2011793942
270	0.2011776728
271	0.2011773147
272	0.2011772872
273	0.2011731833
274	0.20116627
275	0.2011659808
276	0.2011659395
277	0.20115422
278	0.2011538757
279	0.2011538757
280	0.2011535176
281	0.2011535314
282	0.2011535314
283	0.2011532284
284	0.2011521267
285	0.2011521267
286	0.2011493586
287	0.2011489868
288	0.201148973
289	0.2011486838
290	0.2011453098
291	0.2011425831
292	0.2011420735
293	0.2011403934
294	0.2011401593
295	0.2011398563
296	0.2011398563
297	0.2011398701
298	0.2011396773
299	0.2011395396
300	0.2011394156
301	0.2011392642
302	0.2011392504
303	0.2011392228
304	0.2011390851
305	0.2011390851
306	0.2011390989
307	0.2011388648
308	0.2011386031
309	0.201138493
310	0.2011309462
311	0.2011309462
312	0.2011218019
313	0.2011216642
314	0.201091546
315	0.2010913808
316	0.2010619236
317	0.2010617446
318	0.2010614416
319	0.2010614278
320	0.201058646
321	0.2010585358
322	0.2010583705
323	0.2010568557
324	0.2010568695
325	0.2010568695
326	0.2010557264
327	0.2010555612
328	0.201055451
329	0.2010554234
330	0.2010546936
331	0.2010545696
332	0.2010543355
333	0.2010542804
334	0.2010543217
335	0.2010497634
336	0.2010497634
337	0.2010489095
338	0.2010488269
339	0.201039903
340	0.2010399305
341	0.2010399168
342	0.2010321221
343	0.2010319569
344	0.2010319706
345	0.2010196452
346	0.2010192733
347	0.2010192871
348	0.2010192871
349	0.201005736
350	0.2010053779
351	0.2009943745
352	0.2009943745
353	0.2009944021
354	0.2009889486
355	0.2009868553
356	0.2009868691
357	0.2009815808
358	0.2009761136
359	0.2009719821
360	0.2009641875
361	0.2009624523
362	0.2009579628
363	0.2009579765
364	0.200957949
365	0.2009518758
366	0.2009518895
367	0.200947703
368	0.2009476892
369	0.200947703
370	0.2009471521
371	0.2009466839
372	0.2009461193
373	0.2009460917
374	0.2009461055
375	0.2009461055
376	0.2009455684
377	0.2009451828
378	0.2009451691
379	0.2009448248
380	0.2009434614
381	0.2009434752
382	0.2009414645
383	0.2009267841
384	0.2009267841
385	0.2009226389
386	0.2009226252
387	0.2009223084
388	0.2009220192
389	0.200920766
390	0.2009207798
391	0.2009207798
392	0.200920463
393	0.2009202152
394	0.2009202014
395	0.2009199673
396	0.2009188518
397	0.2009141282
398	0.2009141419
399	0.2009141557
400	0.2009138803
401	0.2009136599
402	0.2009136324
403	0.2009133845
404	0.2009131642
405	0.2009129851
406	0.2009129714
407	0.2009127923
408	0.2009127786
409	0.2009081238
410	0.2009079585
411	0.2009077657
412	0.2009065814
413	0.2009056036
414	0.2009056036
415	0.2009054521
416	0.2009054246
417	0.2009054246
418	0.2009006046
419	0.2009002741
420	0.200900095
421	0.2009001226
422	0.200900095
423	0.200900095
424	0.2009001088
425	0.2008955367
426	0.2008955229
427	0.2008953301
428	0.2008953714
429	0.2008951786
430	0.2008950547
431	0.2008950547
432	0.2008926998
433	0.2008925483
434	0.2008857176
435	0.2008855661
436	0.2008855248
437	0.2008855386
438	0.2008855248
439	0.2008854009
440	0.2008852907
441	0.2008851392
442	0.2008851392
443	0.2008851254
444	0.2008850015
445	0.2008850015
446	0.2008848913
447	0.2008848776
448	0.2008847674
449	0.2008846572
450	0.200884671
451	0.2008845746
452	0.200884492
453	0.2008844644
454	0.2008844782
455	0.2008844782
456	0.2008843956
457	0.2008843129
458	0.2008838585
459	0.2008838585
460	0.2008769727
461	0.2008768626
462	0.2008768075
463	0.2008766973
464	0.2008766835
465	0.2008766147
466	0.2008766147
467	0.2008766284
468	0.2008761327
469	0.20087605
470	0.2008760638
471	0.2008760638
472	0.2008759812
473	0.2008758572
474	0.2008758297
475	0.2008758022
476	0.2008707205
477	0.2008706654
478	0.2008638485
479	0.2008621959
480	0.2008621822
481	0.2008621822
482	0.2008531343
483	0.2008531481
484	0.2008530517
485	0.2008513991
486	0.2008513027
487	0.200847667
488	0.2008476533
489	0.2008476533
490	0.2008476395
491	0.2008475156
492	0.200847488
493	0.2008475018
494	0.2008474467
495	0.2008435356
496	0.2008434254
497	0.2008433428
498	0.2008432051
499	0.2008427093
500	0.2008423099
501	0.2008423099
502	0.2008421585
503	0.2008362367
504	0.2008278224
505	0.2008276709
506	0.2008219006
507	0.2008218869
508	0.2008217216
509	0.2008164334
510	0.2008162956
511	0.2008163094
512	0.2008162956
513	0.2008162819
514	0.2008119025
515	0.2008118888
516	0.2008115032
517	0.200804824
518	0.2008046587
519	0.200804645
520	0.2008043971
521	0.200800362
522	0.2007996872
523	0.2007995358
524	0.200799398
525	0.2007992466
526	0.2007962444
527	0.2007961204
528	0.2007941098
529	0.2007939583
530	0.2007937655
531	0.2007937793
532	0.2007936553
533	0.2007935452
534	0.2007934625
535	0.2007933524
536	0.2007932147
537	0.2007924848
538	0.2007923884
539	0.2007923057
540	0.2007922507
541	0.2007891383
542	0.2007823076
543	0.2007810544
544	0.2007810407
545	0.2007810682
546	0.2007809856
547	0.2007809718
548	0.2007768541
549	0.2007767715
550	0.2007767302
551	0.2007766613
552	0.2007766338
553	0.2007766063
554	0.20077662
555	0.2007765787
556	0.2007765236
557	0.2007765236
558	0.2007765374
559	0.2007726401
560	0.2007703265
561	0.2007702989
562	0.20076939
563	0.2007693074
564	0.2007688805
565	0.2007688942
566	0.2007688392
567	0.2007684673
568	0.2007683571
569	0.2007683434
570	0.2007683434
571	0.2007681919
572	0.200768123
573	0.2007630276
574	0.2007629863
575	0.2007629587
576	0.2007629587
577	0.2007629174
578	0.2007628623
579	0.2007628486
580	0.2007628072
581	0.2007627935
582	0.2007627108
583	0.2007626833
584	0.2007626833
585	0.2007626971
586	0.200761499
587	0.2007613612
588	0.2007613612
589	0.2007613475
590	0.2007613199
591	0.2007613199
592	0.2007613062
593	0.2007612924
594	0.2007612924
595	0.2007612924
596	0.2007585932
597	0.2007585794
598	0.2007585794
599	0.2007585105
600	0.2007584968
601	0.2007584555
602	0.2007584417
603	0.2007584417
604	0.2007584417
605	0.2007582489
606	0.2007582627
607	0.2007582627
608	0.2007582351
609	0.2007582489
610	0.2007582489
611	0.2007582351
612	0.2007582489
613	0.2007582076
614	0.2007582351
615	0.2007582076
616	0.2007581525
617	0.2007581525
618	0.2007581387
619	0.2007568304
620	0.2007567891
621	0.2007568167
622	0.2007568167
623	0.2007568304
624	0.2007567753
625	0.2007568167
626	0.2007568029
627	0.2007568029
628	0.2007568167
629	0.2007557149
630	0.2007557425
631	0.2007557287
632	0.2007557149
633	0.2007516248
634	0.200751611
635	0.200751611
636	0.2007512117
637	0.2007511979
638	0.2007511979
639	0.2007512117
640	0.2007504129
641	0.2007504129
642	0.2007460474
643	0.2007460474
644	0.2007460336
645	0.2007460336
646	0.2007460336
647	0.2007460198
648	0.2007460198
649	0.2007430176
650	0.2007430176
651	0.2007430176
652	0.2007430039
653	0.2007429763
654	0.2007429901
655	0.2007428662
656	0.2007428662
657	0.2007428662
658	0.2007384731
659	0.2007384593
660	0.2007384593
661	0.2007384731
662	0.2007384731
663	0.2007384455
664	0.2007384455
665	0.200738418
666	0.2007383629
667	0.2007383629
668	0.2007383353
669	0.2007383491
670	0.2007383353
671	0.2007383353
672	0.2007383353
673	0.2007347272
674	0.2007346997
675	0.2007346997
676	0.2007346721
677	0.2007346721
678	0.2007346584
679	0.2007346446
680	0.2007346721
681	0.2007346308
682	0.2007346308
683	0.2007346308
684	0.2007346446
685	0.2007346308
686	0.2007337908
687	0.2007338045
688	0.2007337908
689	0.200733777
690	0.200733777
691	0.2007337632
692	0.2007337494
693	0.200733653
694	0.2007329232
695	0.2007329232
696	0.2007329232
697	0.2007329094
698	0.2007329232
699	0.2007328956
700	0.2007294114
701	0.2007281031
702	0.2007280894
703	0.2007280756
704	0.2007269188
705	0.2007269188
706	0.2007269188
707	0.200726423
708	0.2007264506
709	0.2007264368
710	0.2007261063
711	0.2007261201
712	0.2007236687
713	0.2007236963
714	0.2007159842
715	0.2007159705
716	0.2007137257
717	0.2007137395
718	0.2007106134
719	0.2007106134
720	0.2007105721
721	0.2007105721
722	0.2007105721
723	0.2007105721
724	0.2007105032
725	0.2007104894
726	0.2007100901
727	0.2007091123
728	0.2007090847
729	0.200709071
730	0.2007086854
731	0.2007086303
732	0.2007086578
733	0.2007085752
734	0.2007085752
735	0.200708589
736	0.2007085752
737	0.2007085752
738	0.2007085614
739	0.2007084099
740	0.2007084099
741	0.2007084099
742	0.2007076387
743	0.2007076663
744	0.2007058898
745	0.200705876
746	0.2007058209
747	0.2007056281
748	0.2007056143
749	0.200705573
750	0.200705573
751	0.2007056143
752	0.2007056006
753	0.2007055868
754	0.2007056143
755	0.2007056006
756	0.2007055868
757	0.2007056006
758	0.200705215
759	0.2007052012
760	0.200705215
761	0.2007051874
762	0.2007051874
763	0.2007051736
764	0.2007051874
765	0.2007051736
766	0.2007046503
767	0.2007046503
768	0.2007046366
769	0.2007046228
770	0.2007045264
771	0.2007045264
772	0.2007044713
773	0.2007044575
774	0.2007038516
775	0.2007038378
776	0.2007038378
777	0.2007038654
778	0.2007020475
779	0.2007020475
780	0.2007020337
781	0.20070202
782	0.200701717
783	0.2007016481
784	0.2007016481
785	0.2007016344
786	0.2007015517
787	0.200701538
788	0.2007015242
789	0.2007015242
790	0.2007015242
791	0.2007015104
792	0.2007015104
793	0.2007014967
794	0.2007014829
795	0.2007014967
796	0.2007014829
797	0.2007014553
798	0.2007014278
799	0.2007014553
800	0.200701414
801	0.2007006153
802	0.2007005464
803	0.2007002572
804	0.2007002435
805	0.200700271
806	0.2007002435
807	0.2007002021
808	0.2007002297
809	0.2007002159
810	0.2007001884
811	0.2007002159
812	0.2007002021
813	0.2007002021
814	0.2007001884
815	0.2007001195
816	0.2007001195
817	0.2006999267
818	0.2006999405
819	0.2006999405
820	0.2006999129
821	0.2006999129
822	0.2006999129
823	0.2006999129
824	0.2006999267
825	0.2006996513
826	0.2006976957
827	0.2006956713
828	0.2006937984
829	0.2006900113
830	0.2006899975
831	0.2006895155
832	0.2006874084
833	0.2006870091
834	0.2006853565
835	0.2006839105
836	0.2006825196
837	0.2006793521
838	0.2006791869
839	0.2006791869
840	0.2006778786
841	0.2006765565
842	0.2006729346
843	0.2006723287
844	0.2006723287
845	0.2006716677
846	0.2006713509
847	0.2006713096
848	0.2006709929
849	0.2006703594
850	0.2006695055
851	0.2006694918
852	0.2006694367
853	0.200669299
854	0.2006693265
855	0.2006690924
856	0.2006690924
857	0.2006690648
858	0.2006688032
859	0.2006687756
860	0.2006685278
861	0.2006685002
862	0.2006684864
863	0.2006684451
864	0.2006682799
865	0.2006681146
866	0.2006669303
867	0.2006669027
868	0.2006669027
869	0.2006668614
870	0.2006668476
871	0.2006660764
872	0.2006660351
873	0.2006660489
874	0.2006658836
875	0.2006658836
876	0.2006658423
877	0.2006658423
878	0.2006658148
879	0.2006566017
880	0.2006566017
881	0.200655376
882	0.2006550868
883	0.2006551143
884	0.2006551143
885	0.2006550868
886	0.2006548527
887	0.2006488346
888	0.2006488346
889	0.2006488346
890	0.2006488483
891	0.2006486142
892	0.200648628
893	0.2006486142
894	0.2006475814
895	0.200647361
896	0.2006471544
897	0.2006471407
898	0.2006469341
899	0.2006467138
900	0.2006461078
901	0.2006460252
902	0.2006460252
903	0.2006458048
904	0.2006447582
905	0.2006447444
906	0.2006445241
907	0.2006444828
908	0.2006444828
909	0.2006444828
910	0.2006443037
911	0.2006441523
912	0.2006441247
913	0.200642844
914	0.20064188
915	0.20064188
916	0.20064188
917	0.20064188
918	0.200641577
919	0.200640613
920	0.200638079
921	0.2006379689
922	0.2006376797
923	0.2006376246
924	0.2006374318
925	0.2006371977
926	0.2006371701
927	0.2006369498
928	0.200636936
929	0.2006355726
930	0.2006355864
931	0.2006355864
932	0.2006355864
933	0.2006353523
934	0.2006353523
935	0.2006345535
936	0.2006337135
937	0.2006336859
938	0.2006335207
939	0.2006332315
940	0.2006332177
941	0.2006332177
942	0.2006329423
943	0.2006329423
944	0.2006329561
945	0.2006329423
946	0.2006327219
947	0.2006327495
948	0.2006319507
949	0.2006319232
950	0.2006316478
951	0.2006311658
952	0.2006308352
953	0.2006306011
954	0.2006305598
955	0.2006303946
956	0.2006295545
957	0.2006287007
958	0.2006286594
959	0.2006270894
960	0.2006268277
961	0.2006260015
962	0.2006259877
963	0.20062585
964	0.20062585
965	0.2006255332
966	0.2006247207
967	0.2006246794
968	0.2006245692
969	0.2006243764
970	0.2006242938
971	0.2006241148
972	0.2006239908
973	0.2006236603
974	0.2006235364
975	0.2006230131
976	0.2006227376
977	0.2006225035
978	0.2006222832
979	0.2006222832
980	0.200622173
981	0.2006219389
982	0.2006217874
983	0.2006214706
984	0.200621512
985	0.2006213467
986	0.2006211401
987	0.2006210162
988	0.200620906
989	0.2006205755
990	0.2006204516
991	0.2006203552
992	0.2006202174
993	0.2006199696
994	0.200619942
995	0.2006196666
996	0.2006194876
997	0.2006193223
998	0.2006191433
999	0.2006188816
